REGION,COLONY,COLONY_IMAGES,HERO,ASCENTION_QUEST_NAME,RECOMMENDED_LEVEL,CHAPTER,POST_GAME_QUEST,HOW_TO_ACCEPT_QUEST,QUEST,HERO_IMAGES,HERO_INFO,ASCENTION_PRE_REQUISIT_HEADER,ASCENTION_PRE_REQUISIT_VALUE,HERO_ASCENTION
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,Chapter,Chapter 5,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,How to Unlock,Complete Phase 5 of building Dorrick (Repapa's item lists) and rank up the War Medic class to Rank 10.,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,Recommended Level,42,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,Quest Giver,Yuzet,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,Chapter,Chapter 5,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,How to Unlock,Complete Phase 5 of building Dorrick (Repapa's item lists) and rank up the War Medic class to Rank 10.,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,Recommended Level,42,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,Quest Giver,Yuzet,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/ea1443be3a0f6ae962e745071f514434.png,Healer,Chapter,Chapter 5,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/ea1443be3a0f6ae962e745071f514434.png,Healer,How to Unlock,Complete Phase 5 of building Dorrick (Repapa's item lists) and rank up the War Medic class to Rank 10.,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/ea1443be3a0f6ae962e745071f514434.png,Healer,Recommended Level,42,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 30,Chapter 4,NULL,This quest is only available if you completed the Big Friendly Friend Standard Quest. Fill out Repapa's second item request list in Colony 30.,Missing Parts,https://charalambosbucket1.s3.amazonaws.com/ea1443be3a0f6ae962e745071f514434.png,Healer,Quest Giver,Yuzet,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,Chapter,Chapter 5,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,How to Unlock,Complete Phase 5 of building Dorrick (Repapa's item lists) and rank up the War Medic class to Rank 10.,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,Recommended Level,42,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/8c696719943dda32fb2c7b4fa661a892.png,Valdi,Quest Giver,Yuzet,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,Chapter,Chapter 5,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,How to Unlock,Complete Phase 5 of building Dorrick (Repapa's item lists) and rank up the War Medic class to Rank 10.,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,Recommended Level,42,Valdi
Fornis Region,Colony 30,https://charalambosbucket1.s3.amazonaws.com/f9249b69464c476b5ef718b1b54db25c.png,Valdi,Ascension Quest: Im a Mechanic Walkthrough ,Lv. 26,Chapter 3,NULL,Only available after completing The Kind Right Hand Hero Quest. Gather Info at Colony 30 and Discuss it at a Rest Stop.,Big Friendly Friend,https://charalambosbucket1.s3.amazonaws.com/7649d9e8aee9b57ea98c618d7f19d28f.png,WarMedic,Quest Giver,Yuzet,Valdi
